dist,angle,x,y,sample
397.94756522197383,1199.7223576035844,71.64933186490457,1264,0
389.6407692525812,1199.2919039734475,72.00141703377388,1261,0
381.35432565119976,1198.8047707225387,72.35350220264318,1258,0
365.95385428109154,1175.346236875251,72.7055873715125,1231,0
215.9340420457869,708.8395371914354,73.0576725403818,741,0
180.73742434782335,606.6489787678826,73.40975770925111,633,0
177.00614981144392,607.7481574870702,73.76184287812042,633,0
172.72074042231458,606.9007709897619,74.11392804698973,631,0
169.5236898550503,609.8776259036961,74.46601321585904,633,0
166.0346713233102,611.8729344549898,74.81809838472834,634,0
163.03941970322438,615.7817370000802,75.17018355359765,637,0
159.25235845696957,616.7719889277503,75.52226872246696,637,0
155.45928360840503,617.7389506417427,75.87435389133627,637,0
